id,Hc,Hf,Gf,CP,S
"CH4(g), metano(g)",-890,-74.81,-50.72,35.69,186.26
"C2H2(g), etino(g), acetileno(g)",-1300,226.73,209.2,43.93,200.94
"C2H4(g), eteno(g), etileno(g)",-1411,52.26,68.15,43.56,219.56
"C2H6(g), etano(g)",-1560,-84.68,-32.82,52.63,229.6
"C3H6(g), propeno(g), propileno(g)",-2058,20.42,62.78,63.89,266.6
"C3H6(g), ciclopropano(g)",-2091,53.3,104.45,55.94,237.4
"C3H8(g), propano(g)",-2220,-103.85,-23.49,73.5,270.2
"C4H10(g), butano(g)",-2878,-126.15,-17.03,97.45,310.1
"C5H12(g), pentano(g)",-3537,-146.44,-8.2,120.2,349
"C6H6(l), benzeno(l)",-3268,49,124.3,136.1,173.3
C6H6(g),-3302,82.9,129.72,81.67,269.31
"C6H12(l), cicloexano(l)",-3920,-156.4,26.7,156.5,204.4
"C6H10(l), cicloexeno(l)",-3752,-37.8,,148.8,
"C6H12(g), cicloexano(g)",-3953,,,,
"C7H8(l), tolueno(l)",-3910,12,113.8,,221
C7H8(g),-3953,50,122,103.6,320.7
"C8H18(l), octano(l)",-5471,-249.9,6.4,,358
"CH3OH(l), metanol(l)",-726,-238.86,-166.27,81.6,126.8
CH3OH(g),-764,-200.66,-161.96,43.89,239.81
"C2H5OH(l), etanol(l)",-1368,-277.69,-174.78,111.46,160.7
C2H5OH(g),-1409,-235.1,-168.49,65.44,282.7
"C6H5OH(s), fenol(s)",-3054,-164.6,-50.42,,144
"HCOOH(l), ácido fórmico(l)",-255,-424.72,-361.35,99.04,128.95
"CH3COOH(l), ácido acético(l)",-875,-484.5,-389.9,124.3,159.8
CH3COOH(aq),,-485.76,-396.46,,178.7
"CH3CO2-(aq), acetato(aq)",,-486,-396.3,,186.6
"C2O4(s), ácido oxálico(s)",-254,-827.2,-697.9,117,120
"C6H5COOH(s), ácido benzoico(s)",-3227,-385.1,-245.3,146.8,167.6
"HCHO(g), metanal(g)",-571,-108.57,-102.53,35.4,218.77
"CH3CHO(l), propanona(l)",-1166,-192.3,-128.12,,160.2
CH3CHO(g),-1192,-166.19,-128.86,57.3,250.3
"CH3COCH3(l), acetona(l)",-1790,-248.1,-155.4,124.7,200
glicose(s),-2808,-1268,-910,,212
glicose(aq),,,-917,,
frutose(s),-2810,-1266,,,
sacarose(s),-5645,-2222,-1545,,360
"CH3NH2(g), metilamina(g)",-1085,-22.97,32.16,53.1,243.41
"CO(NH2)2(s), ureia(s)",-632,-333.51,-197.33,93.14,104.6
"NH2CH2COOH(s), glicina(s)",-969,-532.9,-373.4,99.2,103.51
"C6H5NH2(l), anilina(l)",-3393,31.6,149.1,,191.3
